trading_point,open,high,low,close,volume
2022-01-04,3770.63,3892.36,3715.02,3786.64,43486386.67581219
2022-01-05,3786.66,3837.01,3410.22,3538.66,88400722.21595119
2022-01-06,3537.82,3549.04,3299.0,3408.35,96173732.45671442
2022-01-07,3407.72,3415.27,3060.93,3196.03,70484514.1458284
2022-01-08,3205.63,3247.97,2987.6,3081.09,42906965.88035052
2022-01-09,3081.16,3212.5,3058.76,3151.58,28140443.08538651
2022-01-10,3151.66,3180.69,2926.0,3083.16,59619813.65461494
2022-01-11,3084.94,3267.67,3052.28,3242.74,55094857.8296684
2022-01-12,3241.32,3413.09,3208.02,3374.65,68245664.03732885
2022-01-13,3372.33,3412.76,3230.7,3241.82,70485974.29026663
2022-01-14,3241.82,3344.31,3188.89,3308.82,45041540.94074872
2022-01-15,3311.54,3374.83,3262.94,3329.71,24642723.88537328
2022-01-16,3328.95,3393.66,3274.92,3350.15,30119946.4241992
2022-01-17,3350.15,3360.29,3142.68,3211.22,76285482.4797022
2022-01-18,3214.3,3244.27,3083.63,3163.04,63953099.03939453
2022-01-19,3163.04,3173.91,3046.75,3083.12,39673863.32691844
2022-01-20,3092.76,3272.37,2974.09,2999.53,87090709.77962318
2022-01-21,2999.53,3034.02,2466.15,2568.58,127645582.5678416
2022-01-22,2567.51,2626.0,2300.0,2412.04,85384949.18306045
2022-01-23,2413.97,2550.0,2371.79,2543.27,38156278.85745695
2022-01-24,2543.1,2543.1,2160.0,2443.43,119060482.05521792
2022-01-25,2444.36,2511.19,2350.0,2459.84,47725262.91348764
2022-01-26,2461.8,2725.6,2402.72,2463.78,93730997.9443823
2022-01-27,2464.37,2525.1,2317.0,2425.24,63175366.93613412
2022-01-28,2427.01,2559.84,2360.0,2547.4,75792551.89025678
2022-01-29,2546.5,2637.17,2522.72,2603.89,34858739.583755985
2022-01-30,2600.4,2640.26,2543.64,2602.37,21755187.98443298
2022-01-31,2604.38,2708.16,2479.78,2688.91,73287934.6507618
2022-02-01,2689.43,2815.0,2676.98,2791.04,81987506.07372667
2022-02-02,2792.71,2812.44,2608.78,2682.3,54510804.7802216
2022-02-03,2678.82,2728.31,2570.21,2697.56,52585593.27630801
2022-02-04,2698.74,2997.77,2674.54,2997.77,75271836.23971787
2022-02-05,2998.75,3064.96,2961.48,3016.45,39299904.929866895
2022-02-06,3016.4,3076.0,2952.99,3058.17,14391858.045311175
2022-02-07,3058.16,3190.0,2995.0,3142.24,60243541.09214478
2022-02-08,3147.57,3235.52,3028.43,3120.91,51182828.97565584
2022-02-09,3120.86,3275.14,3057.69,3247.46,51990785.24662647
2022-02-10,3249.0,3284.64,3058.91,3076.07,79999257.7087777
2022-02-11,3074.53,3140.59,2878.78,2928.66,49260567.20962824
